scaffold	type	Quality
NC_048200.1 Pseudomonas phage shl2 genome assembly, chromosome: 1	lytic	high quality draft
NC_024146.1 Enterobacteria phage 9g, complete genome	lytic	high quality draft
NC_004681.1 Mycobacterium phage Cjw1, complete genome	lysogenic	high quality draft
NC_048708.1 Rhodococcus phage Takoda, complete genome	lytic	high quality draft
NC_048138.1 Klebsiella phage Henu1, complete genome	lytic	high quality draft
NC_019452.1 Escherichia phage PhaxI, complete genome	lytic	high quality draft
NC_011040.1 Enterobacteria phage BA14, complete genome	lytic	high quality draft
NC_048703.1 Xanthomonas phage RiverRider, complete genome	lytic	high quality draft
NC_055881.1 CrAssphage cr112_1, complete genome	lytic	medium quality draft
NC_007809.1 Pseudomonas phage M6, complete genome	lytic	high quality draft
NC_030842.1 Ranavirus maximus isolate SMA15001, complete genome	lytic	medium quality draft
NC_031101.1 Weissella phage WCP30, complete genome	lytic	high quality draft
NC_047915.1 Faecalibacterium phage FP_Toutatis, complete genome	lytic	low quality draft
NC_002371.2 Salmonella phage P22, complete genome	lysogenic	high quality draft
NC_047894.1 Pseudomonas phage uligo, complete genome	lytic	high quality draft
NC_030907.1 Gordonia phage GMA5, complete genome	lysogenic	low quality draft
NC_000929.1 Enterobacteria phage Mu, complete genome	lytic	high quality draft
NC_055797.1 Gordonia phage Barb, complete genome	lysogenic	low quality draft
NC_048785.1 Salmonella phage SE24, complete genome	lytic	high quality draft
NC_052446.1 Mycobacterium phage MPlant7149, complete genome	lytic	high quality draft
NC_013649.2 Klebsiella phage KP34, complete genome	lytic	high quality draft
NC_055874.1 CrAssphage cr3_1, complete genome	lytic	low quality draft
NC_052453.1 Mycobacterium phage Petruchio, complete genome	lytic	high quality draft
NC_013155.1 Lactococcus phage CB13, complete genome	lytic	low quality draft
NC_029077.1 Mycobacterium phage VohminGhazi, complete genome	lytic	high quality draft
NC_007145.2 Burkholderia prophage phi52237, complete genome	lysogenic	medium quality draft
NC_049488.1 Lactococcus phage CHPC965, complete genome	lytic	low quality draft
NC_007610.1 Listeria bacteriophage P100, complete genome	lytic	high quality draft
NC_028683.1 Edwardsiella phage PEi20 DNA, complete sequence	lytic	high quality draft
NC_048001.1 Salmonella phage SP3, partial genome	lytic	high quality draft
NC_055786.1 Mycobacterium phage CicholasNage, complete genome	lysogenic	high quality draft
NC_053000.1 UNVERIFIED: Salmonella phage SeWh-1, complete genome	lytic	high quality draft
NC_027333.1 Propionibacterium phage PHL070N00, complete genome	lytic	high quality draft
NC_061432.1 Pseudomonas phage YMC12/01/R24, complete genome	lytic	high quality draft
NC_029045.1 Salmonella phage 37, complete genome	lytic	high quality draft
NC_015289.1 Synechococcus phage S-SSM5, complete genome	lytic	high quality draft
NC_055908.1 Bacillus phage DLc1, complete genome	lytic	high quality draft
NC_055828.1 Bacteroides phage crAss002, complete genome	lytic	low quality draft
NC_052965.1 Pseudomonas phage ZC01, complete genome	lytic	medium quality draft
NC_030933.1 Staphylococcus phage Stau2, complete genome	lytic	high quality draft
NC_005893.1 Lactobacillus phage phiAT3, complete genome	lysogenic	high quality draft
NC_013055.1 Burkholderia phage KS9, complete genome	lysogenic	high quality draft
NC_023573.1 Staphylococcus phage phiSA012 DNA, complete genome	lytic	high quality draft
NC_020081.2 Bacillus phage phiAGATE, complete genome	lytic	high quality draft
NC_049489.1 Arthrobacter phage DrYang, complete genome	lytic	high quality draft
NC_031245.1 Bacillus phage SP-15, complete genome	lytic	high quality draft
NC_051692.1 Mycobacterium phage Ogopogo, complete genome	lysogenic	medium quality draft
NC_028268.1 Aeropyrum pernix spindle-shaped virus 1 complete genome	lysogenic	low quality draft
NC_010821.1 Pseudomonas phage 201phi2-1, complete genome	lytic	high quality draft
NC_042006.1 Acinetobacter phage vB_ApiP_P1, complete genome	lytic	high quality draft
NC_054789.1 Mycobacterium phage DroogsArmy, complete genome	lytic	high quality draft
NC_030919.1 Salmonella phage 118970_sal4, complete genome	lysogenic	high quality draft
NC_029072.1 Salmonella phage 19, complete genome	lytic	low quality draft
NC_047904.1 Streptomyces phage AbbeyMikolon, complete genome	lytic	high quality draft
NC_041872.1 Flavobacterium phage FpV4, complete genome	lytic	medium quality draft
NC_028988.1 Ralstonia phage RSJ2 DNA, complete genome	lytic	high quality draft
NC_049919.1 Escherichia phage SH2026Stx1, complete genome	lysogenic	high quality draft
NC_011399.1 Ralstonia phage RSM3 DNA, complete genome	lytic	low quality draft
NC_025417.1 Staphylococcus phage Team1, complete genome	lytic	high quality draft
NC_029024.1 Bacillus phage 250, complete genome	lytic	high quality draft
NC_029057.1 Vibrio phage qdvp001, partial genome	lytic	high quality draft
NC_041906.1 Escherichia phage EC1-UPM, complete genome	lytic	high quality draft
NC_048114.1 Klebsiella phage kpssk3, complete genome	lytic	high quality draft
NC_013694.1 Mycobacterium phage Peaches, complete genome	lytic	high quality draft
NC_050150.1 Pseudomonas phage antinowhere, complete genome	lytic	high quality draft
NC_042354.1 Corynebacterium phage phi673, complete genome	lytic	high quality draft
NC_053173.1 Gordonia phage Toast, complete genome	lytic	low quality draft
NC_047875.1 Salmonella phage UPF_BP1, complete genome	lytic	high quality draft
NC_003050.2 Streptococcus pneumoniae bacteriophage MM1 complete genome	lysogenic	high quality draft
NC_047998.1 Shigella phage Sfin-1, complete genome	lytic	high quality draft
NC_027347.1 Propionibacterium phage PHL151M00, complete genome	lytic	high quality draft
NC_055032.1 Arthrobacter phage LiSara, complete genome	lytic	high quality draft
NC_049412.1 Lactococcus phage 88605, complete genome	lytic	low quality draft
NC_047949.1 Aeromonas phage AhSzq-1, partial genome	lytic	high quality draft
NC_055749.1 Escherichia phage SF, complete genome	lytic	high quality draft
NC_039063.1 Human associated huchismacovirus 3 isolate France/1/2009/3664, complete genome	lytic	low quality draft
NC_039066.1 Camel associated porprismacovirus 3 isolate DcSCV_c1345, complete genome	lytic	low quality draft
NC_031023.1 Streptococcus virus 9874, complete genome	lytic	high quality draft
NC_009236.1 Burkholderia phage phiE12-2, complete genome	lytic	medium quality draft
NC_028883.1 Clostridium phage phiMMP01, complete genome	lysogenic	medium quality draft
NC_047899.1 Escherichia virus VEc3, complete genome	lytic	high quality draft
NC_047882.1 Vibrio phage JSF12, complete genome	lytic	high quality draft
NC_013698.1 Clavibacter phage CMP1, complete genome	lytic	low quality draft
NC_049974.1 Bacillus phage Gxv1, complete genome	lytic	high quality draft
NC_048752.1 Lactobacillus phage 521B, complete genome	lytic	high quality draft
NC_009875.1 Staphylococcus phage SAP-2, complete genome	lytic	medium quality draft
NC_048750.1 Gordonia phage Duffington, complete genome	lytic	medium quality draft
NC_041966.1 Acinetobacter phage WCHABP1, complete genome	lytic	high quality draft
NC_019813.1 Pseudomonas phage vB_PaeP_p2-10_Or1, complete genome	lytic	medium quality draft
NC_047817.1 Klebsiella phage 3 LV-2017, complete genome	lysogenic	medium quality draft
NC_047787.1 Klebsiella phage KPV811, complete genome	lytic	high quality draft
NC_030696.1 Gordonia phage Smoothie, complete genome	lysogenic	high quality draft
NC_054462.1 Ralstonia phage Adzire, complete genome	lytic	high quality draft
NC_048828.1 Erwinia phage Hena1, complete genome	lytic	high quality draft
NC_048780.1 Corynebacterium phage StAB, complete genome	lysogenic	medium quality draft
NC_049353.1 Lactococcus phage phi145, complete genome	lytic	low quality draft
NC_054772.1 Mycobacterium phage BabyRay, complete genome	lysogenic	high quality draft
NC_055731.1 Gordonia phage Kabluna, complete genome	lytic	high quality draft
NC_007024.1 Xanthomonas phage Xp15, complete genome	lytic	high quality draft
NC_004813.1 Enterobacteria phage BP-4795, complete genome	lysogenic	high quality draft
NC_051623.1 Mycobacterium phage Marshawn, complete genome	lysogenic	high quality draft
NC_043224.1 Senegalvirus SSV-A contig3 genomic sequence	lytic	low quality draft
NC_053006.1 Salmonella phage ER3, complete genome	lytic	high quality draft
NC_027981.1 Vibrio phage VP58.5, complete genome	lytic	medium quality draft
NC_048852.1 Salmonella phage L6jm, complete genome	lytic	high quality draft
NC_020859.1 Synechococcus phage S-RIM2 R1_1999, complete genome	lytic	high quality draft
NC_004462.2 Thermus thermophilus phage IN93, complete genome	lysogenic	medium quality draft
NC_051691.1 Mycobacterium phage Nivrat, complete genome	lysogenic	medium quality draft
NC_021559.1 Prochlorococcus phage P-SSM3 genomic sequence	lytic	high quality draft
NC_019768.1 Enterobacteria phage HK106, complete genome	lysogenic	high quality draft
NC_041876.1 Arthrobacter phage Galaxy, complete genome	lysogenic	high quality draft
NC_030921.1 Gordonia phage Utz, complete genome	lysogenic	low quality draft
NC_049448.1 Klebsiella phage ST437-OXA245phi4.1, complete genome	lysogenic	medium quality draft
NC_047838.1 Synechococcus phage Bellamy, complete genome	lytic	high quality draft
NC_049356.1 Lactococcus phage 936 group phage Phi19.3, complete genome	lytic	low quality draft
NC_054762.1 Rhodococcus phage PhailMary, complete genome	lytic	high quality draft
NC_048150.1 Shigella phage vB_SsoS_008, complete genome	lytic	high quality draft
NC_047818.1 Klebsiella phage 4 LV-2017, complete genome	lysogenic	medium quality draft
NC_009815.1 Listeria phage A006, complete genome	lysogenic	high quality draft
NC_042032.1 Mycobacterium phage Marvin, complete sequence	lytic	low quality draft
NC_047895.1 Escherichia phage EG1, complete genome	lytic	high quality draft
NC_032492.1 Beihai Nido-like virus 2 strain BHXun32263 1ab, putative glycoprotein 1, putative glycoprotein 2, and hypothetical protein genes, complete cds	lytic	low quality draft
NC_047993.1 Microbacterium phage Quhwah, complete genome	lytic	medium quality draft
NC_052996.1 Salmonella phage BPS4, complete genome	lytic	high quality draft
NC_029607.1 Lake Sarah-associated circular virus-1 isolate LSaCV-1-LSCO-2013, complete sequence	lytic	low quality draft
NC_048142.1 Acinetobacter phage AbKT21phiIII, complete genome	lytic	high quality draft
NC_054464.1 Edwardsiella phage Edno5, complete genome	lysogenic	high quality draft
NC_054796.1 Mycobacterium phage LeoAvram, complete genome	lysogenic	high quality draft
NC_020861.1 Tetraselmis viridis virus SI1 genomic sequence	lytic	medium quality draft
NC_028857.1 Citrobacter phage Merlin, complete genome	lytic	high quality draft
NC_054902.1 Enterobacteria phage Aplg8, complete genome	lytic	high quality draft
NC_054963.1 Ralstonia phage Gervaise, complete genome	lysogenic	high quality draft
NC_054426.1 Arthrobacter phage Nubia, complete genome	lytic	high quality draft
NC_009014.1 Erwinia amylovora phage Era103, complete genome	lytic	high quality draft
NC_054971.1 Achromobacter phage vB_AxyP_19-32_Axy10, complete genome	lytic	high quality draft
NC_042117.1 Microbacterium phage Golden, complete genome	lytic	medium quality draft
NC_015286.1 Synechococcus phage Syn19, complete genome	lytic	high quality draft
NC_048156.1 Halorubrum pleomorphic virus 12, complete genome	lytic	low quality draft
NC_048071.1 Escherichia phage IMM-002, complete genome	lytic	high quality draft
NC_048097.1 Arthrobacter phage Yang, complete genome	lytic	high quality draft
NC_014458.1 Mycobacterium phage Angelica, complete genome	lysogenic	high quality draft
NC_042061.1 Salmonella phage STML-13-1, partial genome	lytic	high quality draft
NC_004175.1 Pseudomonas phage phi12 segment M, complete sequence	lytic	low quality draft
NC_054675.1 Streptomyces phage Saftant, complete genome	lytic	high quality draft
NC_041883.1 Gordonia phage Attis, complete genome	lysogenic	medium quality draft
NC_048165.1 Microbacterium phage Fireman, complete genome	lytic	medium quality draft
NC_054909.1 Escherichia phage EC121, partial genome	lytic	high quality draft
NC_019490.1 Riemerella phage RAP44, complete genome	lysogenic	medium quality draft
NC_040681.1 Bufonid herpesvirus 1 strain FO1_2015, complete genome	lytic	medium quality draft
NC_053234.1 Gordonia phage Kroos, complete genome	lytic	low quality draft
NC_055709.1 Escherichia phage phiE142, complete genome	lytic	high quality draft
NC_060132.1 Gordonia phage Trax, complete genome	lysogenic	high quality draft
NC_048111.1 Pectobacterium phage Arno160, complete genome	lytic	high quality draft
NC_047939.1 Yersinia phage YpP-Y, complete sequence	lytic	high quality draft
NC_043256.1 Feldmannia irregularis virus a strain FirrV-1 contig D, partial sequence	lytic	low quality draft
NC_009986.1 Sulfolobus spindle-shaped virus 4, complete genome	lysogenic	low quality draft
NC_027400.1 Propionibacterium phage PHL055N00, complete genome	lytic	medium quality draft
NC_047792.1 Streptomyces phage Ididsumtinwong, complete genome	lytic	high quality draft
NC_038483.1 Odonata associated gemycircularvirus-2 isolate OdaGmV-2-US-1642KW-12, complete genome	lytic	low quality draft
NC_055055.1 Xanthomonas phage Xf409, complete genome	lytic	low quality draft
NC_030942.1 Gordonia phage BritBrat, complete genome	lysogenic	medium quality draft
NC_048705.1 Mycobacterium phage TChen, complete genome	lysogenic	low quality draft
NC_047850.1 Klebsiella phage MezzoGao, complete genome	lytic	high quality draft
NC_039236.1 Solenopsis invicta virus 2 isolate Florida-Sin, complete genome	lytic	low quality draft
NC_038702.1 Heterocapsa circularisquama DNA virus 01 hnhE1, hnhE2, PolB genes for HNH endonuclease, HNH endonuclease, type B DNA polymerase, complete cds	lytic	low quality draft
NC_028945.1 Sinorhizobium phage phiN3, complete genome	lytic	high quality draft
NC_017732.1 Enterococcus phage EF62phi, complete genome	lytic	high quality draft
NC_015263.1 Lactococcus phage 949, complete genome	lysogenic	high quality draft
NC_009544.1 Solenopsis invicta virus 2, complete genome	lytic	low quality draft
NC_055740.1 Enterobacteria phage vB_EcoM_IME281, complete genome	lytic	high quality draft
NC_051601.1 Mycobacterium phage Krueger, complete genome	lysogenic	high quality draft
NC_025453.1 Enterococcus phage EFC-1, complete genome	lytic	high quality draft
NC_054906.1 Enterobacteria phage RB18, complete genome	lytic	high quality draft
NC_048185.1 Gordonia phage Fairfaxidum, complete genome	lytic	low quality draft
NC_051640.1 Mycobacterium phage ByChance, complete genome	lytic	low quality draft
NC_011020.1 Mycobacterium phage Jasper, complete genome	lytic	high quality draft
NC_055730.1 Mycobacterium phage Geralt, complete genome	lysogenic	medium quality draft
NC_052441.1 Mycobacterium phage Magnar, complete genome	lytic	high quality draft
NC_054441.1 Mycobacterium phage Rabbs, complete genome	lysogenic	low quality draft
NC_049965.1 Bacillus phage vB_BveP-Goe6, complete genome	lytic	high quality draft
NC_048820.1 Gordonia phage Jellybones, complete genome	lytic	high quality draft
NC_041884.1 Acinetobacter phage vB_AbaM_ME3, complete genome	lytic	high quality draft
NC_028681.1 Mycobacterium phage Pops, complete genome	lytic	high quality draft
NC_031030.1 Escherichia phage UFV-AREG1, complete genome	lytic	high quality draft
NC_049371.1 Dinoroseobacter phage DS-1410Ws-06, partial genome	lytic	high quality draft
NC_020871.1 Listeria phage vB_LmoM_AG20, complete genome	lytic	high quality draft
NC_042013.1 Agrobacterium phage Atu_ph07, complete genome	lytic	high quality draft
NC_054960.1 Ralstonia phage Heva, complete genome	lytic	high quality draft
NC_025440.1 Listeria phage WIL-1, complete genome	lytic	high quality draft
NC_029070.1 Cronobacter phage Dev-CD-23823 complete sequence	lytic	high quality draft
NC_049501.1 Salmonella phage allotria, complete genome	lytic	high quality draft
NC_051731.1 Mycobacterium phage GreaseLightnin, complete genome	lysogenic	medium quality draft
NC_055743.1 Erwinia phage Cronus, complete genome	lytic	high quality draft
NC_048677.1 Lactobacillus phage LpeD, complete genome	lytic	high quality draft
NC_004683.1 Mycobacterium phage Che9c, complete genome	lysogenic	medium quality draft
NC_050151.1 Pseudomonas phage crassa, complete genome	lytic	high quality draft
NC_007451.1 Enterobacteria phage PR4, complete genome	lytic	high quality draft
NC_027377.1 Leuconostoc phage Ln-8, complete genome	lytic	medium quality draft
NC_028448.1 Escherichia phage slur14, complete genome	lytic	high quality draft
NC_047724.1 Staphylococcus phage 676Z, complete genome	lytic	high quality draft
NC_049811.1 Lactococcus phage 62503, complete genome	lytic	high quality draft
NC_054650.1 Shigella phage DS8, complete genome	lytic	high quality draft
NC_028836.1 Pseudomonas phage DL62, complete genome	lytic	high quality draft
NC_048075.1 Acinetobacter phage vB_AbaM_B09_Aci02-2, complete genome	lytic	high quality draft
NC_028896.1 Escherichia phage pro147, complete genome	lysogenic	high quality draft
NC_048070.1 Corynebacterium phage Juicebox, complete genome	lysogenic	low quality draft
NC_041890.1 Propionibacterium phage Anatole, complete genome	lysogenic	medium quality draft
NC_047863.1 Shigella phage vB_SflS-ISF001, complete genome	lytic	medium quality draft
NC_011611.1 Pseudomonas phage MP38, complete genome	lytic	medium quality draft
NC_054775.1 Mycobacterium phage Scorpia, complete genome	lytic	high quality draft
NC_009452.1 Acidianus bottle-shaped virus, complete genome	lytic	low quality draft
NC_007804.2 Escherichia phage phiV10, complete genome	lysogenic	high quality draft
NC_020840.1 Tetraselmis viridis virus S20 genomic sequence	lytic	medium quality draft
NC_048168.1 Pseudomonas phage RLP, complete genome	lytic	high quality draft
NC_055722.1 Burkholderia phage FLC5 DNA, complete genome	lytic	medium quality draft
NC_009597.1 Pyrococcus abyssi virus 1, complete genome	lytic	low quality draft
NC_049928.1 Microbacterium phage MonChoix, complete genome	lytic	medium quality draft
NC_025454.1 Ralstonia phage RS603 DNA, complete genome	lytic	low quality draft
NC_051645.1 Mycobacterium phage Cornucopia, complete genome	lysogenic	medium quality draft
NC_031265.1 Gordonia phage Guacamole, complete genome	lysogenic	low quality draft
NC_028256.1 Aeropyrum pernix ovoid virus 1 complete genome	lysogenic	low quality draft
NC_019496.1 Clostridium phage phiCP26F, complete genome	lytic	medium quality draft
NC_048816.1 Gordonia phage OhMyWard, complete genome	lytic	medium quality draft
NC_051717.1 Mycobacterium phage Wachhund, complete genome	lysogenic	medium quality draft
NC_025462.1 Acinetobacter phage vB_AbaM_Acibel004, complete genome	lytic	high quality draft
NC_026928.1 Synechococcus phage ACG-2014e isolate Syn7803C2, complete genome	lytic	high quality draft
NC_027989.1 Campylobacter phage vB_CcoM-IBB_35 clone Contig1, complete genome	lytic	medium quality draft
NC_051590.1 Mycobacterium phage Eponine, complete genome	lysogenic	medium quality draft
NC_025434.1 Shigella phage POCJ13, complete genome	lysogenic	high quality draft
NC_011217.1 Sulfolobus spindle-shaped virus 5, complete genome	lysogenic	low quality draft
NC_019544.1 Deep-sea thermophilic phage D6E, complete genome	lytic	high quality draft
NC_028837.1 Paenibacillus phage Xenia, complete genome	lytic	high quality draft
NC_028665.1 Gordonia phage GTE6, complete genome	lytic	low quality draft
NC_027343.1 Propionibacterium phage PHL114N00, complete genome	lytic	high quality draft
NC_031003.1 Propionibacterium phage Moyashi, complete genome	lytic	high quality draft
NC_051589.1 Mycobacterium phage Henu3, complete genome	lysogenic	medium quality draft
NC_020158.1 Halovirus HVTV-1, complete genome	lytic	high quality draft
NC_031125.1 Lactobacillus phage PLE3, complete genome	lysogenic	high quality draft
NC_008210.1 Ranid herpesvirus 2 strain ATCC VR-568, complete genome	lytic	medium quality draft
NC_048835.1 Flavobacterium phage vB_FspS_lillamy9-1, complete genome	lytic	medium quality draft
NC_052988.1 Klebsiella phage KPN U2874, complete genome	lytic	high quality draft
NC_011167.1 Bacillus phage IEBH, complete genome	lytic	high quality draft
NC_050146.1 Pseudomonas phage Epa7, complete genome	lytic	high quality draft
NC_026819.1 Taro bacilliform CH virus isolate TaBCHV-1, complete genome	lytic	low quality draft
NC_055852.1 Flavobacterium phage vB_FspP_elemoA_7-9A, complete genome	lytic	medium quality draft
NC_047849.1 Klebsiella phage AltoGao, complete genome	lytic	high quality draft
NC_014467.1 Enterobacteria phage RB16, complete genome	lytic	high quality draft
NC_031945.1 Flavobacterium phage Fpv11, complete genome	lytic	medium quality draft
NC_047890.1 Escherichia phage PGT2, complete genome	lytic	high quality draft
NC_001330.1 Enterobacteria phage alpha3, complete genome	lytic	low quality draft
NC_048687.1 Pseudomonas phage PMBT14, complete genome	lytic	medium quality draft
NC_048814.1 Gordonia phage Lambo, complete genome	lytic	high quality draft
NC_029031.1 Synechococcus phage S-CBP42, complete genome	lysogenic	high quality draft
NC_026665.1 Eel River basin pequenovirus isolate c22476, complete genome	lytic	low quality draft
NC_028670.1 Klebsiella phage vB_KpnP_KpV41, complete genome	lytic	high quality draft
NC_027334.1 Aurantimonas phage AmM-1 DNA, complete sequence	lytic	high quality draft
NC_055877.1 CrAssphage cr8_1, complete genome	lytic	low quality draft
NC_028925.1 Enterobacteria phage vB_EcoM_VR25, complete genome	lytic	high quality draft
NC_010355.1 Azospirillum phage Cd, complete genome	lysogenic	low quality draft
NC_049409.1 Lactococcus phage 63302, complete genome	lytic	low quality draft
NC_024145.1 Mycobacterium phage Hosp, complete genome	lytic	high quality draft
NC_031094.1 Streptococcus virus 9872, complete genome	lytic	high quality draft
NC_054911.1 Escherichia phage ECO4, partial genome	lytic	high quality draft
NC_041852.1 Mycobacterium phage Nepal, complete genome	lytic	high quality draft
NC_047883.1 Acinetobacter phage SWH-Ab-3, complete genome	lytic	high quality draft
NC_047708.1 Uncultured phage_MedDCM-OCT-S39-C11 DNA, complete genome, group G9, isolate: uvMED-CGR-U-MedDCM-OCT-S39-C11	lysogenic	high quality draft
NC_025893.1 Chaetoceros tenuissimus DNA virus type-II DNA, complete genome, isolate: SS10-8V	lytic	low quality draft
NC_028838.1 Clostridium phage phiCD506, complete genome	lysogenic	high quality draft
NC_028900.1 Lactococcus phage SL4, complete genome	lytic	low quality draft
NC_043225.1 Senegalvirus SSV-A contig1 genomic sequence	lytic	low quality draft
NC_021315.1 Enterobacteria phage Chi, complete genome	lytic	high quality draft
NC_054914.1 Escherichia phage vB_EcoM-fFiEco06, complete genome	lytic	high quality draft
NC_048632.1 Salmonella phage 35, complete genome	lytic	high quality draft
NC_050147.1 Pseudomonas phage Epa13, complete genome	lytic	high quality draft
NC_054968.1 Achromobacter phage vB_AxyP_19-32_Axy12, complete genome	lytic	high quality draft
NC_028786.1 Klebsiella phage 1513, complete genome	lytic	high quality draft
NC_008376.2 Geobacillus phage GBSV1, complete genome	lysogenic	high quality draft
NC_014635.1 Aeromonas phage phiAS4, complete genome	lytic	high quality draft
NC_052420.1 Mycobacterium phage BigPaolini, complete genome	lytic	high quality draft
NC_042126.1 Enterococcus phage vB_EfaS_AL3, complete genome	lytic	high quality draft
NC_028802.1 Mycobacterium phage UnionJack, complete genome	lytic	high quality draft
NC_028992.1 Sulfolobales Virus YNP2 strain SYV2, complete genome	lysogenic	low quality draft
NC_013594.1 Escherichia phage D108, complete genome	lytic	high quality draft
NC_040350.1 Alces alces faeces associated microvirus MP10 5560, complete genome	lytic	low quality draft
NC_028701.2 Salmonella phage SEN5, complete genome	lysogenic	medium quality draft
NC_049459.1 Salmonella phage SW9, complete genome	lysogenic	medium quality draft
NC_020877.1 Staphylococcus phage vB_SauM_Romulus, complete genome	lytic	high quality draft
NC_055042.1 Staphylococcus phage P240, complete genome	lysogenic	medium quality draft
NC_000902.1 Enterobacteria phage VT2-Sakai, complete genome	lysogenic	medium quality draft
NC_047864.1 Enterobacteria phage T3, complete genome	lytic	high quality draft
NC_017973.1 Mycobacterium phage SWU1, complete genome	lysogenic	high quality draft
NC_011166.1 Pseudomonas phage LMA2, complete genome	lytic	high quality draft
NC_048858.1 Bifidobacterium phage BadAztec1, complete genome	lytic	medium quality draft
NC_008211.1 Ranid herpesvirus 1 strain McKinnell, complete genome	lytic	medium quality draft
NC_028943.1 Escherichia phage pro483, complete genome	lysogenic	high quality draft
NC_027645.1 Gokushovirinae Fen7875_21, complete genome	lytic	low quality draft
NC_008367.1 Phormidium phage Pf-WMP4, complete genome	lytic	high quality draft
NC_023863.2 Vibrio phage CHOED, complete genome	lytic	high quality draft
NC_042067.1 Citrobacter phage CF1 ERZ-2017, complete genome	lytic	high quality draft
NC_051701.1 Mycobacterium phage Pollywog, complete genome	lysogenic	medium quality draft
NC_048747.1 Vibrio phage 2 TSL-2019, complete genome	lytic	high quality draft
NC_055754.1 Gordonia phage Frokostdame, complete genome	lytic	low quality draft
NC_024378.1 Leuconostoc phage phiLNTR3, complete genome	lytic	medium quality draft
NC_030915.1 Gordonia phage Orchid, complete genome	lysogenic	high quality draft
NC_041911.1 Ralstonia phage RP12 DNA, complete genome	lytic	high quality draft
NC_003157.5 Streptococcus pyogenes strain NIH1 putative methionine sulfoxide reductase gene, complete cds; and integrated temperate phage PhiNIH1.1, complete genome	lysogenic	high quality draft
