contig_id	contig_length	provirus	proviral_length	gene_count	viral_genes	host_genes	checkv_quality	miuvig_quality	completeness	completeness_method	contamination	kmer_freq	warnings
NC_003708.1	2745	No	NA	4	4	0	Medium-quality	Genome-fragment	52.16	AAI-based (high-confidence)	0.0	1.0	
NC_003709.1	2753	No	NA	2	2	0	Low-quality	Genome-fragment	49.92	AAI-based (high-confidence)	0.0	1.0	
NC_003850.1	377	No	NA	1	0	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_003867.1	2620	No	NA	3	3	0	Medium-quality	Genome-fragment	50.31	AAI-based (high-confidence)	0.0	1.0	
NC_003868.1	2586	No	NA	3	2	0	Low-quality	Genome-fragment	49.55	AAI-based (high-confidence)	0.0	1.0	
NC_001540.1	5517	No	NA	4	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001669.1	5243	No	NA	5	4	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001706.1	22172	No	NA	37	20	0	High-quality	High-quality	99.93	AAI-based (high-confidence)	0.0	1.0	
NC_001884.1	134416	No	NA	178	40	4	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001936.1	2634	No	NA	4	4	0	Medium-quality	Genome-fragment	50.37	AAI-based (high-confidence)	0.0	1.0	
NC_001937.1	2607	No	NA	2	2	0	Low-quality	Genome-fragment	49.94	AAI-based (high-confidence)	0.0	1.0	
NC_000924.1	61670	No	NA	87	79	0	High-quality	High-quality	97.05	AAI-based (high-confidence)	0.0	1.0	
NC_000935.1	36524	No	NA	39	28	0	High-quality	High-quality	95.9	AAI-based (high-confidence)	0.0	1.0	
NC_001792.2	1758	No	NA	2	2	0	High-quality	High-quality	99.43	AAI-based (high-confidence)	0.0	1.0	
NC_002232.1	7565	No	NA	6	6	0	High-quality	High-quality	98.64	AAI-based (high-confidence)	0.0	1.0	
NC_001418.1	5833	No	NA	9	1	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001447.1	11965	No	NA	19	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_001484.1	3311	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001538.1	5153	No	NA	5	4	0	High-quality	High-quality	99.23	AAI-based (high-confidence)	0.0	1.0	
NC_001697.1	32355	No	NA	43	22	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002046.1	2642	No	NA	4	3	0	Medium-quality	Genome-fragment	50.62	AAI-based (high-confidence)	0.0	1.0	
NC_002047.1	2585	No	NA	2	2	0	Low-quality	Genome-fragment	49.53	AAI-based (high-confidence)	0.0	1.0	
NC_001956.1	8651	No	NA	11	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002331.1	178733	No	NA	169	129	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001835.1	28451	No	NA	56	49	0	High-quality	High-quality	92.41	AAI-based (high-confidence)	0.0	1.0	
NC_002543.1	3080	No	NA	4	2	0	Medium-quality	Genome-fragment	75.56	AAI-based (high-confidence)	0.0	1.0	
NC_002593.1	100999	No	NA	119	90	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002654.2	131405	No	NA	134	111	0	High-quality	High-quality	99.23	AAI-based (high-confidence)	0.0	1.0	
NC_002669.1	14957	No	NA	26	8	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NC_002747.1	37667	No	NA	55	36	0	High-quality	High-quality	99.34	AAI-based (high-confidence)	0.0	1.0	
NC_002981.1	2748	No	NA	3	3	0	Medium-quality	Genome-fragment	54.93	AAI-based (high-confidence)	0.0	1.0	
NC_003038.1	212482	No	NA	207	107	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003084.1	108252	No	NA	94	28	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003214.2	40900	No	NA	70	12	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002515.1	11660	No	NA	11	4	0	Low-quality	Genome-fragment	31.09	HMM-based (lower-bound)	0.0	1.0	low-confidence ITR
NC_003220.1	5699	No	NA	6	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected; low-confidence ITR
NC_003219.1	1911	No	NA	2	1	0	Low-quality	Genome-fragment	4.23	HMM-based (lower-bound)	0.0	1.0	low-confidence ITR
NC_003157.5	43106	No	NA	67	50	1	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003357.1	2737	No	NA	4	3	0	Medium-quality	Genome-fragment	54.7	AAI-based (high-confidence)	0.0	1.0	
NC_003382.1	7559	No	NA	3	3	0	High-quality	High-quality	93.29	HMM-based (lower-bound)	0.0	1.0	
NC_009333.1	137969	No	NA	104	69	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003460.1	5804	No	NA	10	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_003525.1	61765	No	NA	88	80	0	High-quality	High-quality	97.23	AAI-based (high-confidence)	0.0	1.0	
NC_003556.1	2766	No	NA	4	4	0	Medium-quality	Genome-fragment	55.33	AAI-based (high-confidence)	0.0	1.0	
NC_003664.1	2622	No	NA	3	3	0	Medium-quality	Genome-fragment	51.14	AAI-based (high-confidence)	0.0	1.0	
NC_003665.1	2573	No	NA	3	2	0	Low-quality	Genome-fragment	49.29	AAI-based (high-confidence)	0.0	1.0	
NC_003803.1	2800	No	NA	5	3	0	Medium-quality	Genome-fragment	52.82	AAI-based (high-confidence)	0.0	1.0	
NC_003804.1	2760	No	NA	5	1	0	Low-quality	Genome-fragment	49.68	AAI-based (high-confidence)	0.0	1.0	
NC_003830.1	2634	No	NA	3	3	0	Medium-quality	Genome-fragment	51.32	AAI-based (high-confidence)	0.0	1.0	
NC_003831.1	2579	No	NA	2	2	0	Low-quality	Genome-fragment	49.41	AAI-based (high-confidence)	0.0	1.0	
NC_003866.1	2583	No	NA	4	4	0	Low-quality	Genome-fragment	49.51	AAI-based (high-confidence)	0.0	1.0	
NC_003887.1	2513	No	NA	2	2	0	Low-quality	Genome-fragment	48.16	AAI-based (high-confidence)	0.0	1.0	
NC_003896.1	2766	No	NA	4	4	0	Medium-quality	Genome-fragment	56.99	AAI-based (high-confidence)	0.0	1.0	
NC_001338.1	15465	No	NA	33	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001510.1	5149	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001623.1	133894	No	NA	146	124	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001693.1	7313	No	NA	6	6	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001270.2	6825	No	NA	14	1	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	
NC_001931.1	2615	No	NA	3	3	0	Medium-quality	Genome-fragment	50.4	AAI-based (high-confidence)	0.0	1.0	
NC_001930.1	2576	No	NA	2	2	0	Low-quality	Genome-fragment	49.36	AAI-based (high-confidence)	0.0	1.0	
NC_001993.1	236120	No	NA	254	101	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_000882.1	2744	No	NA	4	4	0	Medium-quality	Genome-fragment	52.96	AAI-based (high-confidence)	0.0	1.0	
NC_002188.1	288539	No	NA	251	173	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_001648.1	8159	No	NA	4	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001401.2	4679	No	NA	2	2	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NC_001934.1	2593	No	NA	3	3	0	Medium-quality	Genome-fragment	51.95	AAI-based (high-confidence)	0.0	1.0	
NC_001935.1	2547	No	NA	2	2	0	Low-quality	Genome-fragment	48.8	AAI-based (high-confidence)	0.0	1.0	
NC_001478.1	2701	No	NA	4	3	0	High-quality	High-quality	99.44	AAI-based (high-confidence)	0.0	1.0	
NC_001523.1	8374	No	NA	6	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001662.1	4801	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001828.1	2597	No	NA	3	3	0	Low-quality	Genome-fragment	49.77	AAI-based (high-confidence)	0.0	1.0	
NC_001917.1	2562	No	NA	3	2	0	Low-quality	Genome-fragment	49.09	AAI-based (high-confidence)	0.0	1.0	
NC_001909.1	31754	No	NA	61	57	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_000936.1	5454	No	NA	5	3	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NC_002510.1	2764	No	NA	4	3	0	Medium-quality	Genome-fragment	55.49	AAI-based (high-confidence)	0.0	1.0	
NC_002531.1	130608	No	NA	75	61	0	High-quality	High-quality	97.62	AAI-based (high-confidence)	0.0	1.0	
NC_002577.1	164270	No	NA	104	62	0	High-quality	High-quality	97.13	AAI-based (high-confidence)	0.0	1.0	
NC_002643.1	4594	No	NA	5	5	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002666.1	35538	No	NA	59	40	0	High-quality	High-quality	99.36	AAI-based (high-confidence)	0.0	1.0	
NC_002730.1	38297	No	NA	55	43	0	High-quality	High-quality	99.54	AAI-based (high-confidence)	0.0	1.0	
NC_002817.1	2767	No	NA	3	3	0	Medium-quality	Genome-fragment	55.47	AAI-based (high-confidence)	0.0	1.0	
NC_003031.1	7687	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003083.1	118584	No	NA	127	113	0	High-quality	High-quality	92.25	AAI-based (high-confidence)	0.0	1.0	
NC_002703.1	38347	No	NA	52	41	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002486.1	45636	No	NA	68	52	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002670.1	14510	No	NA	22	3	1	Medium-quality	Genome-fragment	59.71	AAI-based (medium-confidence)	0.0	1.05	low-confidence DTR
NC_003313.1	33106	No	NA	44	27	0	High-quality	High-quality	96.96	AAI-based (high-confidence)	0.0	1.0	
NC_003349.1	130869	No	NA	138	112	0	High-quality	High-quality	98.82	AAI-based (high-confidence)	0.0	1.0	
NC_003380.1	220	No	NA	0	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_003391.1	205719	No	NA	215	177	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_003444.1	37074	No	NA	52	42	0	Medium-quality	Genome-fragment	66.64	AAI-based (high-confidence)	0.0	1.0	
NC_003524.1	33507	No	NA	52	24	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003540.1	399	No	NA	1	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_003663.2	224499	No	NA	207	183	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_003793.1	7768	No	NA	14	2	0	High-quality	High-quality	97.83	AAI-based (high-confidence)	0.0	1.0	
NC_008058.1	2614	No	NA	3	3	0	Medium-quality	Genome-fragment	50.18	AAI-based (high-confidence)	0.0	1.0	
NC_008057.1	2558	No	NA	2	2	0	Low-quality	Genome-fragment	49.01	AAI-based (high-confidence)	0.0	1.0	
NC_003865.1	2663	No	NA	3	3	0	Medium-quality	Genome-fragment	50.71	AAI-based (high-confidence)	0.0	1.0	
NC_003860.1	2662	No	NA	2	2	0	Medium-quality	Genome-fragment	50.99	AAI-based (high-confidence)	0.0	1.0	
NC_003891.1	2749	No	NA	3	3	0	Medium-quality	Genome-fragment	54.93	AAI-based (high-confidence)	0.0	1.0	
NC_003906.1	366	No	NA	2	0	0	High-quality	High-quality	98.81	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002048.1	2584	No	NA	4	3	0	Medium-quality	Genome-fragment	50.84	AAI-based (high-confidence)	0.0	1.0	
NC_002049.1	2542	No	NA	4	2	0	Low-quality	Genome-fragment	48.71	AAI-based (high-confidence)	0.0	1.0	
NC_001493.2	134226	No	NA	98	14	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.27	
NC_001605.1	7687	No	NA	5	5	0	High-quality	High-quality	99.79	AAI-based (high-confidence)	0.0	1.0	
NC_001690.1	7100	No	NA	6	6	0	High-quality	High-quality	99.3	AAI-based (high-confidence)	0.0	1.0	
NC_001839.2	7206	No	NA	2	1	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_001899.1	5941	No	NA	5	3	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NC_001987.1	108409	No	NA	70	62	0	High-quality	High-quality	98.25	AAI-based (high-confidence)	0.0	1.0	
NC_000871.1	37370	No	NA	46	42	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002185.1	35466	No	NA	45	41	0	High-quality	High-quality	96.6	AAI-based (high-confidence)	0.0	1.0	
NC_001718.1	5075	No	NA	2	2	0	High-quality	High-quality	99.0	AAI-based (high-confidence)	0.0	1.0	
NC_001359.1	2631	No	NA	3	3	0	Medium-quality	Genome-fragment	50.72	AAI-based (high-confidence)	0.0	1.0	
NC_001369.1	2589	No	NA	2	2	0	Low-quality	Genome-fragment	49.61	AAI-based (high-confidence)	0.0	1.0	
NC_001741.1	4877	No	NA	6	6	0	High-quality	High-quality	99.03	AAI-based (high-confidence)	0.0	1.0	
NC_001466.1	2750	No	NA	4	2	0	High-quality	High-quality	99.02	AAI-based (high-confidence)	0.0	1.0	
NC_001507.1	2588	No	NA	3	3	0	Medium-quality	Genome-fragment	50.34	AAI-based (high-confidence)	0.0	1.0	
NC_001508.1	2508	No	NA	2	2	0	Low-quality	Genome-fragment	48.05	AAI-based (high-confidence)	0.0	1.0	
NC_001647.1	2705	No	NA	4	3	0	High-quality	High-quality	99.59	AAI-based (high-confidence)	0.0	1.0	
NC_001824.1	102653	No	NA	110	45	0	Medium-quality	Genome-fragment	51.97	AAI-based (high-confidence)	0.0	1.0	
NC_001901.1	46375	No	NA	59	33	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_000883.2	5596	No	NA	2	2	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_002363.1	6891	No	NA	11	6	0	Low-quality	Genome-fragment	32.8	AAI-based (high-confidence)	0.0	1.0	
NC_001701.1	5106	No	NA	2	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002557.1	4361	No	NA	3	1	0	Low-quality	Genome-fragment	17.29	AAI-based (high-confidence)	0.0	1.0	
NC_002565.1	897	No	NA	1	0	0	Low-quality	Genome-fragment	3.56	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002566.1	200	No	NA	0	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_002558.1	4187	No	NA	1	1	0	Low-quality	Genome-fragment	16.6	AAI-based (high-confidence)	0.0	1.0	
NC_002559.1	3878	No	NA	1	0	0	Low-quality	Genome-fragment	15.44	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002567.1	3311	No	NA	1	1	0	Low-quality	Genome-fragment	13.13	AAI-based (high-confidence)	0.0	1.0	
NC_002560.1	2260	No	NA	1	0	0	Low-quality	Genome-fragment	8.96	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002561.1	1859	No	NA	1	0	0	Low-quality	Genome-fragment	7.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002562.1	1776	No	NA	1	1	0	Low-quality	Genome-fragment	7.04	AAI-based (high-confidence)	0.0	1.0	
NC_002563.1	1234	No	NA	1	0	0	Low-quality	Genome-fragment	4.89	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002564.1	1157	No	NA	1	0	0	Low-quality	Genome-fragment	4.59	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_002641.1	159160	No	NA	98	66	0	High-quality	High-quality	96.01	AAI-based (high-confidence)	0.0	1.0	
NC_002665.1	108873	No	NA	75	60	0	Medium-quality	Genome-fragment	76.94	AAI-based (medium-confidence)	0.0	1.0	
NC_002687.1	335593	No	NA	312	59	8	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_002816.1	123500	No	NA	129	102	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003027.1	150773	No	NA	155	141	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_003059.1	8072	No	NA	8	4	0	High-quality	High-quality	91.79	HMM-based (lower-bound)	0.0	1.0	
NC_003199.1	2754	No	NA	3	3	0	Medium-quality	Genome-fragment	55.04	AAI-based (high-confidence)	0.0	1.0	
NC_002169.1	135611	No	NA	139	116	0	High-quality	High-quality	91.57	AAI-based (high-confidence)	0.0	1.0	
NC_003102.1	139342	No	NA	136	104	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003291.2	37618	No	NA	61	31	0	High-quality	High-quality	99.21	AAI-based (high-confidence)	0.0	1.0	
NC_003345.2	77672	No	NA	113	14	0	Complete	High-quality	100.0	DTR (high-confidence)	0.0	1.0	
NC_003379.1	2672	No	NA	4	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003389.1	146454	No	NA	151	132	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_003438.1	4421	No	NA	7	4	0	Medium-quality	Genome-fragment	88.89	AAI-based (medium-confidence)	0.0	1.0	
NC_003504.1	2603	No	NA	4	3	0	Low-quality	Genome-fragment	49.58	AAI-based (high-confidence)	0.0	1.0	
NC_003505.1	2572	No	NA	2	2	0	Low-quality	Genome-fragment	49.27	AAI-based (high-confidence)	0.0	1.0	
NC_003533.1	322	No	NA	0	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_003648.1	1001	No	NA	1	1	0	Low-quality	Genome-fragment	13.82	AAI-based (high-confidence)	0.0	1.0	
NC_003642.1	989	No	NA	1	1	0	Low-quality	Genome-fragment	12.34	AAI-based (high-confidence)	0.0	1.0	
NC_003643.1	977	No	NA	1	0	0	Low-quality	Genome-fragment	12.21	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_003644.1	981	No	NA	1	0	0	Low-quality	Genome-fragment	12.22	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_003645.1	985	No	NA	2	1	0	Low-quality	Genome-fragment	12.32	AAI-based (high-confidence)	0.0	1.0	
NC_003646.1	997	No	NA	1	0	0	Low-quality	Genome-fragment	12.46	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_003641.1	990	No	NA	1	0	0	Low-quality	Genome-fragment	12.37	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_023626.1	991	No	NA	1	0	0	Low-quality	Genome-fragment	12.39	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_003744.1	2758	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003822.1	2580	No	NA	3	3	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_003856.1	2607	No	NA	3	3	0	Medium-quality	Genome-fragment	50.38	AAI-based (high-confidence)	0.0	1.0	
NC_003857.1	2597	No	NA	2	2	0	Low-quality	Genome-fragment	49.76	AAI-based (high-confidence)	0.0	1.0	
NC_003889.1	359	No	NA	0	0	0	Not-determined	Genome-fragment	NA	NA	0.0	1.0	no viral genes detected
NC_003898.1	2739	No	NA	4	4	0	Medium-quality	Genome-fragment	53.05	AAI-based (high-confidence)	0.0	1.0	
NC_004003.1	149599	No	NA	152	138	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_003897.1	2759	No	NA	3	3	0	Medium-quality	Genome-fragment	55.13	AAI-based (high-confidence)	0.0	1.0	
NC_004002.1	149955	No	NA	148	139	0	Complete	High-quality	100.0	ITR (high-confidence)	0.0	1.0	
NC_001439.1	2647	No	NA	3	3	0	Medium-quality	Genome-fragment	51.01	AAI-based (high-confidence)	0.0	1.0	
NC_001438.1	2585	No	NA	3	2	0	Low-quality	Genome-fragment	49.53	AAI-based (high-confidence)	0.0	1.0	
NC_001416.1	48502	No	NA	62	47	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
NC_004092.1	741	No	NA	1	0	0	Medium-quality	Genome-fragment	55.8	AAI-based (high-confidence)	0.0	1.0	no viral genes detected
NC_004107.1	3323	No	NA	3	2	0	High-quality	High-quality	100.0	AAI-based (high-confidence)	0.0	1.0	
