## Contig_id	Nb genes contigs	Fragment	Nb genes	Category	Nb phage hallmark genes	Phage gene enrichment sig	Non-Caudovirales phage gene enrichment sig	Pfam depletion sig	Uncharacterized enrichment sig	Strand switch depletion sig	Short genes enrichment sig	assembly
1--VIRSorter_virus--3300011593_____Ga0122758_100092--fragment_4	10	VIRSorter_virus--3300011593_____Ga0122758_100092--fragment_4	10	1	4	6.11975222504243						1
1--VIRSorter_virus--3300011825_____Ga0120832_100093--fragment_9	6	VIRSorter_virus--3300011825_____Ga0120832_100093--fragment_9	6	1	1	2.38061042338579						1
1--VIRSorter_virus--3300012317_____Ga0118623_100007--fragment_9	6	VIRSorter_virus--3300012317_____Ga0118623_100007--fragment_9	6	1	2	3.67185133502546						1
1--VIRSorter_virus--3300012822_____Ga0160490_100169--fragment_4	5	VIRSorter_virus--3300012822_____Ga0160490_100169--fragment_4	5	1	3	3.05987611252121						1
1--VIRSorter_virus--3300012822_____Ga0160490_100169--fragment_6	11	VIRSorter_virus--3300012822_____Ga0160490_100169--fragment_6	11	1	2	4.71033836654668						1
1--VIRSorter_virus--3300012843_____Ga0160474_100138--fragment_4	4	VIRSorter_virus--3300012843_____Ga0160474_100138--fragment_4	4	1	1	2.44790089001697						1
1--VIRSorter_virus--3300013102_____Ga0157371_10000631--fragment_3	10	VIRSorter_virus--3300013102_____Ga0157371_10000631--fragment_3	10	1	1	2.51651609420193						1
1--VIRSorter_virus--3300013308_____Ga0157375_10000390--fragment_5	5	VIRSorter_virus--3300013308_____Ga0157375_10000390--fragment_5	5	1	2	3.05987611252121						1
1--VIRSorter_virus--3300013942_____Ga0117795_1000084--fragment_3	4	VIRSorter_virus--3300013942_____Ga0117795_1000084--fragment_3	4	1	1	2.44790089001697						1
1--VIRSorter_virus--3300014042_____Ga0117790_1000140--fragment_4	4	VIRSorter_virus--3300014042_____Ga0117790_1000140--fragment_4	4	1	1	2.44790089001697						1
1--VIRSorter_virus--3300014614_____Ga0134326_10008--fragment_22	9	VIRSorter_virus--3300014614_____Ga0134326_10008--fragment_22	9	1	1	4.04791190371438						1
1--VIRSorter_virus--3300014641_____Ga0121364_100097--fragment_4	7	VIRSorter_virus--3300014641_____Ga0121364_100097--fragment_4	7	1	1	4.28382655752970						1
1--VIRSorter_virus--3300014773_____Ga0119928_1000038--fragment_12	4	VIRSorter_virus--3300014773_____Ga0119928_1000038--fragment_12	4	1	1	2.44790089001697						1
1--VIRSorter_virus--3300015261_____Ga0182006_1000037--fragment_2	4	VIRSorter_virus--3300015261_____Ga0182006_1000037--fragment_2	4	1	3	2.44790089001697						1
1--VIRSorter_virus--3300020269_____Ga0211484_1000018--fragment_13	8	VIRSorter_virus--3300020269_____Ga0211484_1000018--fragment_13	8	1	1	2.42819872654634						1
1--VIRSorter_virus--3300020365_____Ga0211506_1000001--fragment_1	6	VIRSorter_virus--3300020365_____Ga0211506_1000001--fragment_1	6	1	2	2.38061042338579						1
1--VIRSorter_virus--3300027601_____Ga0255079_1000016--fragment_6	4	VIRSorter_virus--3300027601_____Ga0255079_1000016--fragment_6	4	1	3	2.44790089001697						1
1--VIRSorter_virus--7000000262_____C1622990--fragment_4	6	VIRSorter_virus--7000000262_____C1622990--fragment_4	6	1	3	2.38061042338579						1
1--VIRSorter_virus--7000000640_____SRS015278_WUGC_scaffold_18168--fragment_6	6	VIRSorter_virus--7000000640_____SRS015278_WUGC_scaffold_18168--fragment_6	6	1	2	3.67185133502546						1
1--VIRSorter_virus--7000000649_____SRS047634_LANL_scaffold_141070--fragment_6	5	VIRSorter_virus--7000000649_____SRS047634_LANL_scaffold_141070--fragment_6	5	1	2	3.05987611252121						1
1--VIRSorter_virus--7000000651_____SRS063932_LANL_scaffold_19065--fragment_3	8	VIRSorter_virus--7000000651_____SRS063932_LANL_scaffold_19065--fragment_3	8	1	1	3.48521036508559						1
1--VIRSorter_virus--Actinobacteria_gi_418422484--fragment_9	6	VIRSorter_virus--Actinobacteria_gi_418422484--fragment_9	6	1	2	2.38061042338579						1
1--VIRSorter_virus--Bacilli_gi_151220212-320821-363215--fragment_7	5	VIRSorter_virus--Bacilli_gi_151220212-320821-363215--fragment_7	5	1	2	3.05987611252121						1
1--VIRSorter_virus--Bacilli_gi_242364291-479779-521001--fragment_6	6	VIRSorter_virus--Bacilli_gi_242364291-479779-521001--fragment_6	6	1	2	3.67185133502546						1
1--VIRSorter_virus--Bacilli_gi_381181969--fragment_6	6	VIRSorter_virus--Bacilli_gi_381181969--fragment_6	6	1	5	3.67185133502546						1
1--VIRSorter_virus--Bacilli_gi_418173798-108723-146533--fragment_5	8	VIRSorter_virus--Bacilli_gi_418173798-108723-146533--fragment_5	8	1	2	3.48521036508559						1
1--VIRSorter_virus--Bacilli_gi_418933447-548605-592002--fragment_7	5	VIRSorter_virus--Bacilli_gi_418933447-548605-592002--fragment_7	5	1	2	3.05987611252121						1
1--VIRSorter_virus--Bacilli_gi_444891813--fragment_6	6	VIRSorter_virus--Bacilli_gi_444891813--fragment_6	6	1	3	3.67185133502546						1
1--VIRSorter_virus--Bacilli_gi_486237704-1056260-1099853--fragment_4	5	VIRSorter_virus--Bacilli_gi_486237704-1056260-1099853--fragment_4	5	1	2	3.05987611252121						1
1--VIRSorter_virus--Bacilli_gi_486257669-131915-176632--fragment_8	4	VIRSorter_virus--Bacilli_gi_486257669-131915-176632--fragment_8	4	1	1	2.44790089001697						1
1--VIRSorter_virus--Bacilli_gi_486407993-453599-499276--fragment_6	6	VIRSorter_virus--Bacilli_gi_486407993-453599-499276--fragment_6	6	1	3	3.67185133502546						1
1--VIRSorter_virus--Bacilli_gi_486416926-121500-170172--fragment_6	9	VIRSorter_virus--Bacilli_gi_486416926-121500-170172--fragment_6	9	1	4	4.04791190371438						1
1--VIRSorter_virus--Bacilli_gi_505742298-40597-77477--fragment_9	4	VIRSorter_virus--Bacilli_gi_505742298-40597-77477--fragment_9	4	1	1	2.44790089001697						1
1--VIRSorter_virus--Bacilli_gi_523688622--fragment_6	5	VIRSorter_virus--Bacilli_gi_523688622--fragment_6	5	1	4	3.05987611252121						1
1--VIRSorter_virus--Clostridia_gi_544967458-49-54192--fragment_8	9	VIRSorter_virus--Clostridia_gi_544967458-49-54192--fragment_8	9	1	2	2.93596207779261						1
1--VIRSorter_virus--Clostridia_gi_544995858-10095-57803--fragment_11	7	VIRSorter_virus--Clostridia_gi_544995858-10095-57803--fragment_11	7	1	1	4.28382655752970						1
1--VIRSorter_virus--Clostridia_gi_544995858-10095-57803--fragment_8	8	VIRSorter_virus--Clostridia_gi_544995858-10095-57803--fragment_8	8	1	2	2.42819872654634						1
1--VIRSorter_virus--Clostridia_gi_545030666--fragment_6	7	VIRSorter_virus--Clostridia_gi_545030666--fragment_6	7	1	1	4.28382655752970						1
1--VIRSorter_virus--Gammaproteobacteria_gi_153946813-2506817-2556994--fragment_2	4	VIRSorter_virus--Gammaproteobacteria_gi_153946813-2506817-2556994--fragment_2	4	1	1	2.44790089001697						1
1--VIRSorter_virus--Gammaproteobacteria_gi_229510657-1545316-1577558--fragment_4	8	VIRSorter_virus--Gammaproteobacteria_gi_229510657-1545316-1577558--fragment_4	8	1	3	3.48521036508559						1
1--VIRSorter_virus--Gammaproteobacteria_gi_302121827-7096-40559--fragment_3	6	VIRSorter_virus--Gammaproteobacteria_gi_302121827-7096-40559--fragment_3	6	1	2	2.38061042338579						1
1--VIRSorter_virus--Gammaproteobacteria_gi_410480139-3248868-3309004--fragment_8	4	VIRSorter_virus--Gammaproteobacteria_gi_410480139-3248868-3309004--fragment_8	4	1	1	2.44790089001697						1
1--VIRSorter_virus--Gammaproteobacteria_gi_417230772-0-43149--fragment_5	10	VIRSorter_virus--Gammaproteobacteria_gi_417230772-0-43149--fragment_5	10	1	2	2.51651609420193						1
1--VIRSorter_virus--Gammaproteobacteria_gi_417280092-362797-409590--fragment_6	5	VIRSorter_virus--Gammaproteobacteria_gi_417280092-362797-409590--fragment_6	5	1	1	3.05987611252121						1
1--VIRSorter_virus--Gammaproteobacteria_gi_419018789-0-65766--fragment_6	7	VIRSorter_virus--Gammaproteobacteria_gi_419018789-0-65766--fragment_6	7	1	1	2.92882332228420						1
1--VIRSorter_virus--Gammaproteobacteria_gi_420058116-1051-43430--fragment_1	4	VIRSorter_virus--Gammaproteobacteria_gi_420058116-1051-43430--fragment_1	4	1	1	2.44790089001697						1
1--VIRSorter_virus--Gammaproteobacteria_gi_420058116-1051-43430--fragment_4	7	VIRSorter_virus--Gammaproteobacteria_gi_420058116-1051-43430--fragment_4	7	1	2	2.92882332228420						1
1--VIRSorter_virus--Gammaproteobacteria_gi_452725248-13395-52192--fragment_5	6	VIRSorter_virus--Gammaproteobacteria_gi_452725248-13395-52192--fragment_5	6	1	3	3.67185133502546						1
1--VIRSorter_virus--Gammaproteobacteria_gi_476380943-569036-615893--fragment_8	6	VIRSorter_virus--Gammaproteobacteria_gi_476380943-569036-615893--fragment_8	6	1	1	2.38061042338579						1
1--VIRSorter_virus--Gammaproteobacteria_gi_476381329-68193-108083--fragment_9	4	VIRSorter_virus--Gammaproteobacteria_gi_476381329-68193-108083--fragment_9	4	1	1	2.44790089001697						1
1--VIRSorter_virus--Gammaproteobacteria_gi_486432203-182481-227333--fragment_7	4	VIRSorter_virus--Gammaproteobacteria_gi_486432203-182481-227333--fragment_7	4	1	2	2.44790089001697						1
1--VIRSorter_virus--Gammaproteobacteria_gi_493958020--fragment_5	5	VIRSorter_virus--Gammaproteobacteria_gi_493958020--fragment_5	5	1	3	3.05987611252121						1
1--VIRSorter_virus--Gammaproteobacteria_gi_510914972-894299-932937--fragment_7	7	VIRSorter_virus--Gammaproteobacteria_gi_510914972-894299-932937--fragment_7	7	1	1	2.92882332228420						1
1--VIRSorter_virus--Gammaproteobacteria_gi_545160214-744505-786080--fragment_7	7	VIRSorter_virus--Gammaproteobacteria_gi_545160214-744505-786080--fragment_7	7	1	1	4.28382655752970						1
1--VIRSorter_virus--Gammaproteobacteria_gi_545230507-713399-757800--fragment_6	5	VIRSorter_virus--Gammaproteobacteria_gi_545230507-713399-757800--fragment_6	5	1	2	3.05987611252121						1
1--VIRSorter_virus--Gammaproteobacteria_gi_545248148-54176-92896--fragment_6	4	VIRSorter_virus--Gammaproteobacteria_gi_545248148-54176-92896--fragment_6	4	1	2	2.44790089001697						1
1--VIRSorter_virus--Gammaproteobacteria_gi_556507252-1137765-1179612--fragment_6	8	VIRSorter_virus--Gammaproteobacteria_gi_556507252-1137765-1179612--fragment_6	8	1	1	3.48521036508559						1
1--VIRSorter_virus--Gammaproteobacteria_gi_565626228--fragment_8	6	VIRSorter_virus--Gammaproteobacteria_gi_565626228--fragment_8	6	1	1	2.38061042338579						1
1--VIRSorter_virus--NC_002666_1--fragment_6	7	VIRSorter_virus--NC_002666_1--fragment_6	7	1	2	4.28382655752970						1
1--VIRSorter_virus--NC_003157_5--fragment_6	7	VIRSorter_virus--NC_003157_5--fragment_6	7	1	2	4.28382655752970						1
1--VIRSorter_virus--NC_004678_1--fragment_1	9	VIRSorter_virus--NC_004678_1--fragment_1	9	1	1	5.50777700253819						1
1--VIRSorter_virus--NC_007053_1--fragment_3	5	VIRSorter_virus--NC_007053_1--fragment_3	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_007623_1--fragment_16	5	VIRSorter_virus--NC_007623_1--fragment_16	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_008204_1--fragment_6	8	VIRSorter_virus--NC_008204_1--fragment_6	8	1	1	4.89580178003394						1
1--VIRSorter_virus--NC_008562_1--fragment_20	4	VIRSorter_virus--NC_008562_1--fragment_20	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_008799_1--fragment_5	8	VIRSorter_virus--NC_008799_1--fragment_5	8	1	2	3.48521036508559						1
1--VIRSorter_virus--NC_010808_1--fragment_6	8	VIRSorter_virus--NC_010808_1--fragment_6	8	1	2	4.89580178003394						1
1--VIRSorter_virus--NC_011045_1--fragment_5	8	VIRSorter_virus--NC_011045_1--fragment_5	8	1	1	3.48521036508559						1
1--VIRSorter_virus--NC_011398_1--fragment_1	4	VIRSorter_virus--NC_011398_1--fragment_1	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_013643_1--fragment_4	7	VIRSorter_virus--NC_013643_1--fragment_4	7	1	1	2.92882332228420						1
1--VIRSorter_virus--NC_013649_2--fragment_7	6	VIRSorter_virus--NC_013649_2--fragment_7	6	1	1	3.67185133502546						1
1--VIRSorter_virus--NC_016564_1--fragment_14	8	VIRSorter_virus--NC_016564_1--fragment_14	8	1	2	4.89580178003394						1
1--VIRSorter_virus--NC_016564_1--fragment_9	6	VIRSorter_virus--NC_016564_1--fragment_9	6	1	2	3.67185133502546						1
1--VIRSorter_virus--NC_017975_1--fragment_39	5	VIRSorter_virus--NC_017975_1--fragment_39	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_018836_1--fragment_2	5	VIRSorter_virus--NC_018836_1--fragment_2	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_018838_1--fragment_2	8	VIRSorter_virus--NC_018838_1--fragment_2	8	1	1	4.89580178003394						1
1--VIRSorter_virus--NC_019408_1--fragment_1	8	VIRSorter_virus--NC_019408_1--fragment_1	8	1	1	4.89580178003394						1
1--VIRSorter_virus--NC_019713_1--fragment_5	4	VIRSorter_virus--NC_019713_1--fragment_5	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_019929_1--fragment_41	4	VIRSorter_virus--NC_019929_1--fragment_41	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_020877_1--fragment_5	8	VIRSorter_virus--NC_020877_1--fragment_5	8	1	3	4.89580178003394						1
1--VIRSorter_virus--NC_024392_1--fragment_15	4	VIRSorter_virus--NC_024392_1--fragment_15	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_024392_1--fragment_2	4	VIRSorter_virus--NC_024392_1--fragment_2	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_026595_1--fragment_3	4	VIRSorter_virus--NC_026595_1--fragment_3	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_026608_1--fragment_9	5	VIRSorter_virus--NC_026608_1--fragment_9	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_027366_1--fragment_31	6	VIRSorter_virus--NC_027366_1--fragment_31	6	1	2	3.67185133502546						1
1--VIRSorter_virus--NC_028664_1--fragment_7	4	VIRSorter_virus--NC_028664_1--fragment_7	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_028744_1--fragment_2	6	VIRSorter_virus--NC_028744_1--fragment_2	6	1	1	3.67185133502546						1
1--VIRSorter_virus--NC_028765_1--fragment_13	5	VIRSorter_virus--NC_028765_1--fragment_13	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_028813_1--fragment_1	5	VIRSorter_virus--NC_028813_1--fragment_1	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_028908_2--fragment_14	5	VIRSorter_virus--NC_028908_2--fragment_14	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_028908_2--fragment_8	7	VIRSorter_virus--NC_028908_2--fragment_8	7	1	1	2.92882332228420						1
1--VIRSorter_virus--NC_028914_1--fragment_5	5	VIRSorter_virus--NC_028914_1--fragment_5	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_028920_1--fragment_4	9	VIRSorter_virus--NC_028920_1--fragment_4	9	1	2	4.04791190371438						1
1--VIRSorter_virus--NC_031261_1--fragment_1	4	VIRSorter_virus--NC_031261_1--fragment_1	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_031264_1--fragment_2	6	VIRSorter_virus--NC_031264_1--fragment_2	6	1	1	3.67185133502546						1
1--VIRSorter_virus--NC_031928_1--fragment_25	4	VIRSorter_virus--NC_031928_1--fragment_25	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_041883_1--fragment_1	4	VIRSorter_virus--NC_041883_1--fragment_1	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_041886_1--fragment_4	7	VIRSorter_virus--NC_041886_1--fragment_4	7	1	1	4.28382655752970						1
1--VIRSorter_virus--NC_041906_1--fragment_14	5	VIRSorter_virus--NC_041906_1--fragment_14	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_041994_1--fragment_37	4	VIRSorter_virus--NC_041994_1--fragment_37	4	1	4	2.44790089001697						1
1--VIRSorter_virus--NC_042041_1--fragment_2	11	VIRSorter_virus--NC_042041_1--fragment_2	11	1	1	2.51898398280227						1
1--VIRSorter_virus--NC_042056_1--fragment_16	4	VIRSorter_virus--NC_042056_1--fragment_16	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_042322_1--fragment_5	9	VIRSorter_virus--NC_042322_1--fragment_5	9	1	1	5.50777700253819						1
1--VIRSorter_virus--NC_047711_1--fragment_1	4	VIRSorter_virus--NC_047711_1--fragment_1	4	1	3	2.44790089001697						1
1--VIRSorter_virus--NC_047726_1--fragment_15	7	VIRSorter_virus--NC_047726_1--fragment_15	7	1	2	4.28382655752970						1
1--VIRSorter_virus--NC_047728_1--fragment_4	7	VIRSorter_virus--NC_047728_1--fragment_4	7	1	1	4.28382655752970						1
1--VIRSorter_virus--NC_047732_1--fragment_1	7	VIRSorter_virus--NC_047732_1--fragment_1	7	1	2	2.92882332228420						1
1--VIRSorter_virus--NC_047732_1--fragment_34	5	VIRSorter_virus--NC_047732_1--fragment_34	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_047745_1--fragment_3	5	VIRSorter_virus--NC_047745_1--fragment_3	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_047767_1--fragment_11	8	VIRSorter_virus--NC_047767_1--fragment_11	8	1	2	3.48521036508559						1
1--VIRSorter_virus--NC_047794_1--fragment_1	4	VIRSorter_virus--NC_047794_1--fragment_1	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_047848_1--fragment_3	8	VIRSorter_virus--NC_047848_1--fragment_3	8	1	1	4.89580178003394						1
1--VIRSorter_virus--NC_047872_1--fragment_23	7	VIRSorter_virus--NC_047872_1--fragment_23	7	1	2	4.28382655752970						1
1--VIRSorter_virus--NC_048173_1--fragment_17	5	VIRSorter_virus--NC_048173_1--fragment_17	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_048173_1--fragment_44	6	VIRSorter_virus--NC_048173_1--fragment_44	6	1	2	2.38061042338579						1
1--VIRSorter_virus--NC_048173_1--fragment_54	8	VIRSorter_virus--NC_048173_1--fragment_54	8	1	1	3.48521036508559						1
1--VIRSorter_virus--NC_048624_1--fragment_6	4	VIRSorter_virus--NC_048624_1--fragment_6	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_048658_1--fragment_5	8	VIRSorter_virus--NC_048658_1--fragment_5	8	1	2	4.89580178003394						1
1--VIRSorter_virus--NC_048683_1--fragment_5	7	VIRSorter_virus--NC_048683_1--fragment_5	7	1	1	4.28382655752970						1
1--VIRSorter_virus--NC_048731_1--fragment_21	6	VIRSorter_virus--NC_048731_1--fragment_21	6	1	4	3.67185133502546						1
1--VIRSorter_virus--NC_048852_1--fragment_27	7	VIRSorter_virus--NC_048852_1--fragment_27	7	1	1	2.92882332228420						1
1--VIRSorter_virus--NC_049347_1--fragment_3	6	VIRSorter_virus--NC_049347_1--fragment_3	6	1	1	2.38061042338579						1
1--VIRSorter_virus--NC_049377_1--fragment_1	5	VIRSorter_virus--NC_049377_1--fragment_1	5	1	2	3.05987611252121						1
1--VIRSorter_virus--NC_049377_1--fragment_2	8	VIRSorter_virus--NC_049377_1--fragment_2	8	1	2	4.89580178003394						1
1--VIRSorter_virus--NC_049483_1--fragment_2	8	VIRSorter_virus--NC_049483_1--fragment_2	8	1	1	3.48521036508559						1
1--VIRSorter_virus--NC_049812_1--fragment_7	5	VIRSorter_virus--NC_049812_1--fragment_7	5	1	1	3.05987611252121						1
1--VIRSorter_virus--NC_049925_1--fragment_9	7	VIRSorter_virus--NC_049925_1--fragment_9	7	1	1	4.28382655752970						1
1--VIRSorter_virus--NC_051663_1--fragment_2	8	VIRSorter_virus--NC_051663_1--fragment_2	8	1	2	4.89580178003394						1
1--VIRSorter_virus--NC_051735_1--fragment_1	4	VIRSorter_virus--NC_051735_1--fragment_1	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_051735_1--fragment_2	7	VIRSorter_virus--NC_051735_1--fragment_2	7	1	1	4.28382655752970						1
1--VIRSorter_virus--NC_052418_1--fragment_4	7	VIRSorter_virus--NC_052418_1--fragment_4	7	1	1	2.92882332228420						1
1--VIRSorter_virus--NC_052451_1--fragment_2	6	VIRSorter_virus--NC_052451_1--fragment_2	6	1	1	3.67185133502546						1
1--VIRSorter_virus--NC_052654_1--fragment_14	7	VIRSorter_virus--NC_052654_1--fragment_14	7	1	2	4.28382655752970						1
1--VIRSorter_virus--NC_052999_1--fragment_9	6	VIRSorter_virus--NC_052999_1--fragment_9	6	1	2	3.67185133502546						1
1--VIRSorter_virus--NC_054670_1--fragment_2	4	VIRSorter_virus--NC_054670_1--fragment_2	4	1	2	2.44790089001697						1
1--VIRSorter_virus--NC_054672_1--fragment_2	6	VIRSorter_virus--NC_054672_1--fragment_2	6	1	2	2.38061042338579						1
1--VIRSorter_virus--NC_054726_1--fragment_5	6	VIRSorter_virus--NC_054726_1--fragment_5	6	1	1	2.38061042338579						1
1--VIRSorter_virus--NC_054912_1--fragment_27	4	VIRSorter_virus--NC_054912_1--fragment_27	4	1	4	2.44790089001697						1
1--VIRSorter_virus--NC_054980_1--fragment_10	4	VIRSorter_virus--NC_054980_1--fragment_10	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_055726_1--fragment_32	4	VIRSorter_virus--NC_055726_1--fragment_32	4	1	1	2.44790089001697						1
1--VIRSorter_virus--NC_055728_1--fragment_24	6	VIRSorter_virus--NC_055728_1--fragment_24	6	1	1	2.38061042338579						1
