index	scaffold	type	Quality
1	virus--3300007988_____Ga0100402_1000828--fragment_5	lysogenic	low quality draft
1	virus--Bacilli_gi_486385588-2250358-2294564--fragment_10	lysogenic	low quality draft
1	virus--NC_024207.1--fragment_2	lysogenic	low quality draft
1	virus--NC_051689.1--fragment_12	lysogenic	low quality draft
1	virus--NC_031040.1--fragment_3	lysogenic	low quality draft
1	virus--3300014515_____Ga0169874_100124--fragment_9	lysogenic	low quality draft
1	virus--3300012822_____Ga0160490_100169--fragment_6	lysogenic	low quality draft
1	virus--Unbinned_2301_contig-100_4--fragment_9	lysogenic	low quality draft
1	virus--3300005590_____Ga0070727_10000717--fragment_2	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_507519518-4403312-4437141--fragment_2	lysogenic	low quality draft
1	virus--3300017963_____Ga0180437_10001241--fragment_9	lysogenic	low quality draft
1	virus--NC_031102.1--fragment_9	lysogenic	low quality draft
1	virus--NC_024392.1--fragment_11	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545240007--fragment_3	lysogenic	low quality draft
1	virus--NC_028896.1--fragment_4	lysogenic	low quality draft
1	virus--3300005616_____Ga0068852_100000177--fragment_7	lysogenic	low quality draft
1	virus--3300008520_____Ga0111044_100098--fragment_28	lysogenic	low quality draft
1	virus--3300025165_____Ga0209108_10000042--fragment_9	lysogenic	low quality draft
1	virus--NC_053514.1--fragment_16	lysogenic	low quality draft
1	virus--NC_053246.1--fragment_11	lysogenic	low quality draft
1	virus--3300011432_____Ga0137428_1000047--fragment_7	lysogenic	low quality draft
1	plasmid--NZ_CP020425.1--fragment_8	lysogenic	low quality draft
1	virus--NC_049370.1--fragment_7	lysogenic	low quality draft
1	virus--NC_047733.1--fragment_8	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545162841-429094-462988--fragment_5	lysogenic	low quality draft
1	virus--3300014641_____Ga0121364_100097--fragment_4	lysogenic	low quality draft
1	virus--3300006805_____Ga0075464_10000051--fragment_4	lysogenic	low quality draft
1	virus--3300020269_____Ga0211484_1000018--fragment_13	lysogenic	low quality draft
1	virus--NC_054913.1--fragment_11	lysogenic	low quality draft
1	virus--3300007234_____Ga0075460_10000038--fragment_9	lysogenic	low quality draft
1	virus--3300005293_____Ga0065715_10000179--fragment_6	lysogenic	low quality draft
1	virus--3300018079_____Ga0184627_10000078--fragment_8	lysogenic	low quality draft
1	virus--3300006115_____Ga0007816_1000011--fragment_3	lysogenic	low quality draft
1	virus--NC_030924.1--fragment_19	lysogenic	low quality draft
1	virus--NC_021530.1--fragment_13	lysogenic	low quality draft
1	virus--NC_055728.1--fragment_15	lysogenic	low quality draft
1	virus--3300007105_____Ga0102630_100035--fragment_15	lysogenic	low quality draft
1	virus--3300008283_____Ga0110914_100286--fragment_2	lysogenic	low quality draft
1	virus--Moniruzzaman_LP01_ERX552336_34_dc_000000000006--fragment_4	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_565128168-86265-117651--fragment_7	lysogenic	low quality draft
1	virus--3300007276_____Ga0070747_1000025--fragment_1	lysogenic	low quality draft
1	virus--NC_011045.1--fragment_5	lysogenic	low quality draft
1	virus--NC_054918.1--fragment_18	lysogenic	low quality draft
1	virus--3300001605_____Draft_10000186--fragment_6	lysogenic	low quality draft
1	virus--3300008491_____Ga0111008_100148--fragment_3	lysogenic	low quality draft
1	virus--3300014794_____Ga0134448_1000262--fragment_5	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_510916074-69742-102504--fragment_5	lysogenic	low quality draft
1	virus--Bacilli_gi_419768752--fragment_8	lysogenic	low quality draft
1	virus--NC_031262.1--fragment_14	lysogenic	low quality draft
1	virus--NC_031012.1--fragment_36	lysogenic	low quality draft
1	virus--3300011452_____Ga0120960_10062--fragment_4	lysogenic	low quality draft
1	virus--NC_047878.1--fragment_7	lysogenic	low quality draft
1	virus--7000000203_____SRS024441_LANL_scaffold_8682--fragment_3	lysogenic	low quality draft
1	virus--3300007353_____Ga0104758_100390--fragment_5	lysogenic	low quality draft
1	virus--NC_031928.1--fragment_15	lysogenic	low quality draft
1	archaea--NZ_WHYS01000004.1--fragment_2	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_419204296-0-61726--fragment_11	lysogenic	low quality draft
1	virus--NC_051671.1--fragment_13	lysogenic	low quality draft
1	virus--NC_010154.1--fragment_5	lysogenic	low quality draft
1	virus--NC_014660.1--fragment_15	lysogenic	low quality draft
1	virus--3300005512_____Ga0074648_1000794--fragment_2	lysogenic	low quality draft
1	virus--NC_029013.1--fragment_23	lysogenic	low quality draft
1	virus--3300011494_____Ga0121594_100073--fragment_7	lysogenic	low quality draft
1	virus--NC_055039.1--fragment_8	lysogenic	low quality draft
1	virus--NC_016659.1--fragment_11	lysogenic	low quality draft
1	virus--NC_049814.1--fragment_6	lysogenic	low quality draft
1	virus--3300006969_____Ga0075419_10000086--fragment_5	lysogenic	low quality draft
1	virus--NC_031012.1--fragment_28	lysogenic	low quality draft
1	virus--NC_014792.1--fragment_8	lysogenic	low quality draft
1	virus--NC_048683.1--fragment_15	lysogenic	low quality draft
1	virus--Bacilli_gi_418982038-444418-491672--fragment_9	lysogenic	low quality draft
1	virus--NC_004678.1--fragment_1	lysogenic	low quality draft
1	virus--NC_020205.1--fragment_10	lysogenic	low quality draft
1	virus--3300005614_____Ga0068856_100000123--fragment_19	lysogenic	low quality draft
1	virus--NC_003157.5--fragment_3	lysogenic	low quality draft
1	virus--3300001095_____JGI12104J13512_1000300--fragment_3	lysogenic	low quality draft
1	virus--NC_055734.1--fragment_41	lysogenic	low quality draft
1	virus--3300008347_____Ga0115411_1000224--fragment_5	lysogenic	low quality draft
1	virus--NC_048748.1--fragment_11	lysogenic	low quality draft
1	virus--NC_008204.1--fragment_6	lysogenic	low quality draft
1	virus--3300012218_____Ga0118552_100003--fragment_7	lysogenic	low quality draft
1	virus--3300008364_____Ga0114890_100197--fragment_7	lysogenic	low quality draft
1	virus--3300008491_____Ga0111008_100148--fragment_9	lysogenic	low quality draft
1	virus--3300006121_____Ga0007824_1000010--fragment_1	lysogenic	low quality draft
1	virus--NC_055716.1--fragment_36	lysogenic	low quality draft
1	virus--3300019937_____Ga0194022_1000007--fragment_5	lysogenic	low quality draft
1	virus--NC_024205.1--fragment_38	lysogenic	low quality draft
1	virus--Bacilli_gi_418454265-6091-48807--fragment_2	lysogenic	low quality draft
1	virus--Bacilli_gi_487379684-588006-630498--fragment_2	lysogenic	low quality draft
1	virus--3300018430_____Ga0187902_10000741--fragment_1	lysogenic	low quality draft
1	virus--NC_053516.1--fragment_10	lysogenic	low quality draft
1	virus--NC_048045.1--fragment_4	lysogenic	low quality draft
1	virus--3300001096_____JGI11944J13513_1000342--fragment_4	lysogenic	low quality draft
1	virus--3300027156_____Ga0255078_1000008--fragment_3	lysogenic	low quality draft
1	virus--3300005689_____Ga0074438_1000351--fragment_5	lysogenic	low quality draft
1	virus--NC_055809.1--fragment_26	lysogenic	low quality draft
1	virus--NC_048875.1--fragment_2	lysogenic	low quality draft
1	virus--NC_047728.1--fragment_34	lysogenic	low quality draft
1	virus--3300008720_____Ga0115616_100001--fragment_3	lysogenic	low quality draft
1	virus--3300006322_____Ga0099623_1000085--fragment_13	lysogenic	low quality draft
1	virus--3300001472_____JGI24004J15324_10000006--fragment_11	lysogenic	low quality draft
1	virus--Tp1_70_MES_0-0d2_scaffold10623_1--fragment_5	lysogenic	low quality draft
1	virus--Clostridia_gi_484228664-0-43810--fragment_8	lysogenic	low quality draft
1	virus--Clostridia_gi_545013896--fragment_9	lysogenic	low quality draft
1	virus--NC_004166.2--fragment_6	lysogenic	low quality draft
1	virus--3300008710_____Ga0115610_100035--fragment_2	lysogenic	low quality draft
1	virus--NC_024207.1--fragment_4	lysogenic	low quality draft
1	virus--NC_024787.1--fragment_6	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545274516-2157251-2197690--fragment_2	lysogenic	low quality draft
1	virus--3300011402_____Ga0137356_1000001--fragment_2	lysogenic	low quality draft
1	virus--NC_031077.1--fragment_9	lysogenic	low quality draft
1	virus--NC_049850.1--fragment_50	lysogenic	low quality draft
1	virus--3300014529_____Ga0169876_100354--fragment_1	lysogenic	low quality draft
1	virus--NC_025447.1--fragment_20	lysogenic	low quality draft
1	virus--NC_009904.1--fragment_15	lysogenic	low quality draft
1	virus--NC_024787.1--fragment_3	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_313112493-5415905-5455670--fragment_1	lysogenic	low quality draft
1	virus--NC_048658.1--fragment_5	lysogenic	low quality draft
1	virus--3300009381_____Ga0115415_1000306--fragment_5	lysogenic	low quality draft
1	virus--NC_020876.1--fragment_9	lysogenic	low quality draft
1	virus--NC_031920.1--fragment_8	lysogenic	low quality draft
1	virus--3300013102_____Ga0157371_10000633--fragment_6	lysogenic	low quality draft
1	virus--3300007657_____Ga0105536_100455--fragment_7	lysogenic	low quality draft
1	virus--3300006463_____Ga0100176_1000761--fragment_8	lysogenic	low quality draft
1	virus--Clostridia_gi_544967458-49-54192--fragment_8	lysogenic	low quality draft
1	virus--3300010287_____Ga0134094_1000609--fragment_8	lysogenic	low quality draft
1	virus--3300005563_____Ga0068855_100000570--fragment_2	lysogenic	low quality draft
1	virus--3300011663_____Ga0121550_100226--fragment_1	lysogenic	low quality draft
1	virus--NC_027344.1--fragment_19	lysogenic	low quality draft
1	virus--3300028072_____Ga0247675_1000004--fragment_1	lysogenic	low quality draft
1	virus--3300005673_____Ga0074422_100267--fragment_14	lysogenic	low quality draft
1	virus--NC_028898.1--fragment_8	lysogenic	low quality draft
1	virus--3300003908_____JGI26085J52751_1000001--fragment_8	lysogenic	low quality draft
1	bacteria--NZ_KI975784.1--fragment_3	lysogenic	low quality draft
1	virus--NC_015210.1--fragment_9	lysogenic	low quality draft
1	virus--NC_055728.1--fragment_12	lysogenic	low quality draft
1	virus--NC_060135.1--fragment_19	lysogenic	low quality draft
1	virus--Bacilli_gi_487392815-426730-471478--fragment_9	lysogenic	low quality draft
1	virus--3300005842_____Ga0068858_100000232--fragment_4	lysogenic	low quality draft
1	virus--NC_048852.1--fragment_27	lysogenic	low quality draft
1	virus--3300011681_____Ga0122032_100066--fragment_11	lysogenic	low quality draft
1	virus--NC_031269.1--fragment_6	lysogenic	low quality draft
1	virus--NC_042098.1--fragment_19	lysogenic	low quality draft
1	virus--NC_028799.1--fragment_16	lysogenic	low quality draft
1	virus--NC_047848.1--fragment_3	lysogenic	low quality draft
1	virus--NC_055046.1--fragment_5	lysogenic	low quality draft
1	virus--NC_031260.1--fragment_1	lysogenic	low quality draft
1	virus--7000000651_____SRS063932_LANL_scaffold_19065--fragment_8	lysogenic	low quality draft
1	virus--NC_042041.1--fragment_2	lysogenic	low quality draft
1	virus--NC_014900.1--fragment_3	lysogenic	low quality draft
1	virus--3300007111_____Ga0102634_100153--fragment_17	lysogenic	low quality draft
1	virus--7000000334_____SRS015217_WUGC_scaffold_16294--fragment_4	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_407479587-2148610-2196792--fragment_1	lysogenic	low quality draft
1	virus--Bacilli_gi_486416926-121500-170172--fragment_6	lysogenic	low quality draft
1	virus--3300002122_____C687J26623_10000002--fragment_18	lysogenic	low quality draft
1	virus--3300017932_____Ga0187814_10000014--fragment_2	lysogenic	low quality draft
1	virus--3300013935_____Ga0121004_100101--fragment_6	lysogenic	low quality draft
1	archaea--NZ_AOHX01000026.1--fragment_32	lysogenic	low quality draft
1	virus--NC_005083.2--fragment_28	lysogenic	low quality draft
1	virus--NC_028683.1--fragment_35	lysogenic	low quality draft
1	virus--NC_051639.1--fragment_11	lysogenic	low quality draft
1	virus--NC_007808.1--fragment_5	lysogenic	low quality draft
1	virus--NC_047891.1--fragment_6	lysogenic	low quality draft
1	virus--3300002307_____JGI24890J29729_1000309--fragment_6	lysogenic	low quality draft
1	virus--3300007087_____Ga0102673_100027--fragment_5	lysogenic	low quality draft
1	virus--NC_030698.1--fragment_8	lysogenic	low quality draft
1	virus--3300008700_____Ga0113865_100116--fragment_2	lysogenic	low quality draft
1	virus--3300006525_____Ga0101027_100424--fragment_3	lysogenic	low quality draft
1	virus--3300013102_____Ga0157371_10000631--fragment_3	lysogenic	low quality draft
1	virus--NC_031102.1--fragment_10	lysogenic	low quality draft
1	virus--NC_009232.2--fragment_11	lysogenic	low quality draft
1	virus--3300011593_____Ga0122758_100092--fragment_4	lysogenic	low quality draft
1	virus--3300002038_____BIB22012_10000001--fragment_44	lysogenic	low quality draft
1	virus--NC_047770.1--fragment_36	lysogenic	low quality draft
1	virus--3300008020_____Ga0100398_1000546--fragment_7	lysogenic	low quality draft
1	virus--3300005577_____Ga0068857_100000108--fragment_4	lysogenic	low quality draft
1	bacteria--NZ_CZPG01000049.1--fragment_2	lysogenic	low quality draft
1	virus--NC_028842.1--fragment_13	lysogenic	low quality draft
1	virus--3300005611_____Ga0074647_1000302--fragment_1	lysogenic	low quality draft
1	virus--NC_015465.1--fragment_5	lysogenic	low quality draft
1	virus--3300008255_____Ga0100403_1000184--fragment_9	lysogenic	low quality draft
1	virus--NC_020877.1--fragment_5	lysogenic	low quality draft
1	virus--NC_055716.1--fragment_20	lysogenic	low quality draft
1	virus--NC_048818.1--fragment_8	lysogenic	low quality draft
1	virus--3300005600_____Ga0070726_10000280--fragment_6	lysogenic	low quality draft
1	virus--3300004808_____Ga0062381_10000004--fragment_3	lysogenic	low quality draft
1	virus--3300017967_____Ga0181590_10000627--fragment_3	lysogenic	low quality draft
1	virus--3300009158_____Ga0114977_10001508--fragment_4	lysogenic	low quality draft
1	virus--NC_052451.1--fragment_9	lysogenic	low quality draft
1	virus--NC_022746.1--fragment_1	lysogenic	low quality draft
1	virus--NC_031022.1--fragment_11	lysogenic	low quality draft
1	virus--NC_042322.1--fragment_5	lysogenic	low quality draft
1	virus--NC_053514.1--fragment_13	lysogenic	low quality draft
1	virus--NC_018856.1--fragment_38	lysogenic	low quality draft
1	plasmid--NZ_CP021842.1--fragment_12	lysogenic	low quality draft
1	virus--NC_047972.1--fragment_2	lysogenic	low quality draft
1	virus--Clostridia_gi_544995858-10095-57803--fragment_8	lysogenic	low quality draft
1	virus--NC_047853.1--fragment_26	lysogenic	low quality draft
1	virus--NC_008194.1--fragment_9	lysogenic	low quality draft
1	virus--3300006920_____Ga0070748_1000066--fragment_3	lysogenic	low quality draft
1	plasmid--NZ_CP007558.1--fragment_20	lysogenic	low quality draft
1	virus--NC_047871.1--fragment_29	lysogenic	low quality draft
1	virus--NC_031255.2--fragment_9	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_420329369--fragment_6	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_419357567-68047-100836--fragment_1	lysogenic	low quality draft
1	virus--3300014205_____Ga0172380_10001317--fragment_10	lysogenic	low quality draft
1	virus--NC_027366.1--fragment_38	lysogenic	low quality draft
1	virus--3300023060_____Ga0224519_1000001--fragment_2	lysogenic	low quality draft
1	virus--3300012628_____Ga0118367_100002--fragment_5	lysogenic	low quality draft
1	virus--NC_028908.2--fragment_1	lysogenic	low quality draft
1	virus--Betaproteobacteria_gi_487572903--fragment_3	lysogenic	low quality draft
1	virus--NC_008198.1--fragment_4	lysogenic	low quality draft
1	virus--NC_054918.1--fragment_13	lysogenic	low quality draft
1	virus--3300006726_____Ga0098070_100127--fragment_10	lysogenic	low quality draft
1	virus--NC_012638.1--fragment_35	lysogenic	low quality draft
1	virus--7000000516_____SRS019161_WUGC_scaffold_11574--fragment_7	lysogenic	low quality draft
1	virus--NC_025417.1--fragment_33	lysogenic	low quality draft
1	virus--3300018481_____Ga0190271_10000012--fragment_13	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545240590-42841-76932--fragment_5	lysogenic	low quality draft
1	virus--NC_021856.1--fragment_4	lysogenic	low quality draft
1	virus--3300008283_____Ga0110914_100306--fragment_6	lysogenic	low quality draft
1	virus--Bacilli_gi_257433049-139222-180874--fragment_4	lysogenic	low quality draft
1	virus--3300009176_____Ga0105242_10000195--fragment_2	lysogenic	low quality draft
1	virus--3300002546_____JGI25318J35512_1000172--fragment_10	lysogenic	low quality draft
1	virus--3300001419_____JGI11705J14877_10000214--fragment_3	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_407479587-2525770-2585244--fragment_5	lysogenic	low quality draft
1	virus--3300026455_____Ga0255155_1000058--fragment_5	lysogenic	low quality draft
1	virus--NC_054915.1--fragment_12	lysogenic	low quality draft
1	virus--3300006192_____Ga0075011_10000108--fragment_9	lysogenic	low quality draft
1	virus--3300002180_____JGI24724J26744_10000027--fragment_13	lysogenic	low quality draft
1	virus--NC_030917.1--fragment_21	lysogenic	low quality draft
1	virus--NC_010537.1--fragment_10	lysogenic	low quality draft
1	virus--3300028293_____Ga0247662_1000004--fragment_1	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545283882-526228-565662--fragment_8	lysogenic	low quality draft
1	virus--3300008220_____Ga0114910_1000120--fragment_2	lysogenic	low quality draft
1	virus--3300011549_____Ga0120919_100069--fragment_8	lysogenic	low quality draft
1	virus--NC_024368.1--fragment_12	lysogenic	low quality draft
1	virus--NC_049494.1--fragment_15	lysogenic	low quality draft
1	virus--NC_028668.1--fragment_12	lysogenic	low quality draft
1	virus--3300006245_____Ga0099369_100007--fragment_11	lysogenic	low quality draft
1	virus--NC_031928.1--fragment_19	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_419746076-11467-52867--fragment_2	lysogenic	low quality draft
1	virus--NC_047782.1--fragment_5	lysogenic	low quality draft
1	virus--NC_031049.1--fragment_28	lysogenic	low quality draft
1	virus--NC_041973.1--fragment_18	lysogenic	low quality draft
1	virus--NC_054648.1--fragment_4	lysogenic	low quality draft
1	virus--3300007931_____Ga0113985_100006--fragment_12	lysogenic	low quality draft
1	virus--NC_049446.1--fragment_6	lysogenic	low quality draft
1	virus--3300012156_____Ga0153920_1000037--fragment_2	lysogenic	low quality draft
1	virus--NC_051713.1--fragment_14	lysogenic	low quality draft
1	virus--3300005337_____Ga0070682_100000257--fragment_9	lysogenic	low quality draft
1	virus--NC_055757.1--fragment_28	lysogenic	low quality draft
1	virus--NC_052971.1--fragment_2	lysogenic	low quality draft
1	virus--NC_019408.1--fragment_1	lysogenic	low quality draft
1	virus--3300013771_____Ga0119904_10000285--fragment_1	lysogenic	low quality draft
1	virus--NC_019408.1--fragment_8	lysogenic	low quality draft
1	virus--7000000380_____SRS015663_WUGC_scaffold_23444--fragment_25	lysogenic	low quality draft
1	plasmid--NZ_CP013060.1--fragment_5	lysogenic	low quality draft
1	virus--3300017987_____Ga0180431_10001321--fragment_3	lysogenic	low quality draft
1	virus--NC_004681.1--fragment_18	lysogenic	low quality draft
1	virus--7000000651_____SRS063932_LANL_scaffold_19065--fragment_3	lysogenic	low quality draft
1	virus--NC_055809.1--fragment_16	lysogenic	low quality draft
1	virus--3300017963_____Ga0180437_10000855--fragment_2	lysogenic	low quality draft
1	virus--3300005673_____Ga0074422_100703--fragment_7	lysogenic	low quality draft
1	virus--NC_047891.1--fragment_10	lysogenic	low quality draft
1	virus--3300006920_____Ga0070748_1000110--fragment_9	lysogenic	low quality draft
1	virus--3300006863_____Ga0075459_1000002--fragment_13	lysogenic	low quality draft
1	virus--NC_053504.1--fragment_16	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_422806576-278763-323438--fragment_11	lysogenic	low quality draft
1	virus--NC_049364.1--fragment_7	lysogenic	low quality draft
1	virus--3300013281_____Ga0119917_100013--fragment_13	lysogenic	low quality draft
1	virus--NC_015289.1--fragment_12	lysogenic	low quality draft
1	virus--NC_047789.1--fragment_2	lysogenic	low quality draft
1	virus--NC_018838.1--fragment_2	lysogenic	low quality draft
1	virus--3300012540_____Ga0118176_10001--fragment_8	lysogenic	low quality draft
1	virus--NC_010152.1--fragment_5	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_424090918-1387-49773--fragment_8	lysogenic	low quality draft
1	virus--3300002408_____B570J29032_109959694--fragment_21	lysogenic	low quality draft
1	virus--Bacilli_gi_487399506-623295-665583--fragment_2	lysogenic	low quality draft
1	virus--NC_027994.1--fragment_10	lysogenic	low quality draft
1	virus--3300009671_____Ga0123334_1000473--fragment_5	lysogenic	low quality draft
1	virus--3300018005_____Ga0187878_1000335--fragment_5	lysogenic	low quality draft
1	virus--NC_048820.1--fragment_19	lysogenic	low quality draft
1	virus--NC_024147.1--fragment_10	lysogenic	low quality draft
1	virus--3300014962_____Ga0134315_1000006--fragment_12	lysogenic	low quality draft
1	virus--NC_014792.1--fragment_15	lysogenic	low quality draft
1	virus--Unbinned_1312_contig-100_1--fragment_7	lysogenic	low quality draft
1	virus--3300014824_____Ga0134492_1000706--fragment_9	lysogenic	low quality draft
1	virus--3300006845_____Ga0075421_100000189--fragment_11	lysogenic	low quality draft
1	virus--3300008333_____Ga0115302_100308--fragment_6	lysogenic	low quality draft
1	virus--7000000374_____SRS016342_Baylor_scaffold_47759--fragment_1	lysogenic	low quality draft
1	virus--NC_052437.1--fragment_10	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_386627502-1300638-1376416--fragment_14	lysogenic	low quality draft
1	virus--3300014614_____Ga0134326_10008--fragment_22	lysogenic	low quality draft
1	virus--3300005461_____Ga0073906_1000575--fragment_8	lysogenic	low quality draft
1	virus--3300007791_____Ga0105806_1000208--fragment_2	lysogenic	low quality draft
1	virus--3300027601_____Ga0255079_1000016--fragment_11	lysogenic	low quality draft
1	virus--3300005655_____Ga0073905_10000061--fragment_6	lysogenic	low quality draft
1	virus--NC_047770.1--fragment_2	lysogenic	low quality draft
1	virus--NC_054790.1--fragment_8	lysogenic	low quality draft
1	virus--3300006260_____Ga0099518_100374--fragment_1	lysogenic	low quality draft
1	virus--NC_004167.1--fragment_9	lysogenic	low quality draft
1	bacteria--NZ_KK218106.1--fragment_21	lysogenic	low quality draft
1	virus--3300008277_____Ga0114260_100021--fragment_1	lysogenic	low quality draft
1	virus--NC_041950.1--fragment_18	lysogenic	low quality draft
1	virus--3300003846_____Ga0058696_1000009--fragment_18	lysogenic	low quality draft
1	virus--Unbinned_5336_contig-100_1--fragment_2	lysogenic	low quality draft
1	virus--3300012039_____Ga0137421_1000023--fragment_8	lysogenic	low quality draft
1	virus--NC_019713.1--fragment_2	lysogenic	low quality draft
1	virus--NC_048828.1--fragment_4	lysogenic	low quality draft
1	virus--NC_055842.1--fragment_24	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_485061967--fragment_10	lysogenic	low quality draft
1	virus--Bacilli_gi_501001074--fragment_8	lysogenic	low quality draft
1	virus--Bacilli_gi_418173798-108723-146533--fragment_5	lysogenic	low quality draft
1	virus--3300011989_____Ga0120380_1000454--fragment_9	lysogenic	low quality draft
1	virus--NC_049494.1--fragment_18	lysogenic	low quality draft
1	virus--NC_014595.1--fragment_16	lysogenic	low quality draft
1	virus--NC_031012.1--fragment_4	lysogenic	low quality draft
1	virus--3300014529_____Ga0169876_100354--fragment_2	lysogenic	low quality draft
1	virus--Bacilli_gi_487189945-425722-469601--fragment_8	lysogenic	low quality draft
1	virus--NC_048076.1--fragment_1	lysogenic	low quality draft
1	virus--7000000193_____SRS048870_WUGC_scaffold_34471--fragment_10	lysogenic	low quality draft
1	virus--NC_054783.1--fragment_7	lysogenic	low quality draft
1	virus--3300002989_____JGI24143J45723_1000030--fragment_4	lysogenic	low quality draft
1	virus--3300020276_____Ga0211509_1000006--fragment_11	lysogenic	low quality draft
1	virus--3300008018_____Ga0100382_1000124--fragment_3	lysogenic	low quality draft
1	virus--3300019762_____Ga0193952_1000015--fragment_15	lysogenic	low quality draft
1	virus--NC_015252.1--fragment_8	lysogenic	low quality draft
1	virus--NC_048734.1--fragment_15	lysogenic	low quality draft
1	virus--NC_004617.1--fragment_3	lysogenic	low quality draft
1	virus--3300011593_____Ga0122758_100092--fragment_1	lysogenic	low quality draft
1	virus--NC_047726.1--fragment_33	lysogenic	low quality draft
1	virus--3300000956_____JGI10216J12902_100944507--fragment_10	lysogenic	low quality draft
1	virus--7000000334_____SRS015217_WUGC_scaffold_16294--fragment_10	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_386607309-2307174-2337602--fragment_7	lysogenic	low quality draft
1	virus--3300008272_____Ga0111092_1000646--fragment_4	lysogenic	low quality draft
1	virus--NC_020883.1--fragment_5	lysogenic	low quality draft
1	virus--3300007959_____Ga0079306_1000384--fragment_8	lysogenic	low quality draft
1	virus--Gammaproteobacteria_gi_545234012-1337880-1414537--fragment_13	lysogenic	low quality draft
1	virus--NC_048736.1--fragment_22	lysogenic	low quality draft
1	plasmid--NZ_CP009637.1--fragment_10	lysogenic	low quality draft
1	virus--NC_024208.1--fragment_7	lysogenic	low quality draft
1	virus--3300009164_____Ga0114975_10000116--fragment_14	lysogenic	low quality draft
